YouTube ID, start seconds, label, train/test split
-1QUpHlvDM4,0,chicken crowing,train
-26kjr5MxSI,0,chicken clucking,train
-3ihfHTdJSI,110,chicken crowing,train
-405Ksmbra8,19,chicken clucking,train
-A3cOSeUcLM,30,chicken crowing,train
-D3xojFH4Us,10,chicken clucking,train
-DR4c2yfNLY,20,chicken clucking,train
-F8f2UKJSSE,40,chicken crowing,train
-FLEmLBKkNg,10,chicken crowing,train
-FgIPY7IO8k,15,chicken crowing,train
-Glsd1Kxlvg,30,chicken crowing,train
-HxQ9AoyRmY,30,chicken clucking,train
-JJmkQYZA-4,20,chicken crowing,test
-JflnolHaIw,60,chicken crowing,train
-U3oyhpebSs,50,chicken crowing,train
-eEwPklE5Ro,0,chicken clucking,train
-fjZl2oKZMc,32,chicken clucking,train
-gp5kXfvW5I,340,chicken crowing,train
-liObUHIFrs,30,chicken crowing,train
-pLNYFSIves,30,chicken crowing,train
-raITF50hN0,180,chicken crowing,train
-uvVa3z00rw,10,chicken crowing,train
00SPuXJ0ri0,77,chicken crowing,train
02UahUjIv5A,24,chicken crowing,train
07tE4aqjZuE,30,chicken crowing,train
0C0ep4Z_FpU,30,chicken clucking,train
0E5iHTLtYWg,26,chicken crowing,train
0F0YvdKcUu0,40,chicken crowing,train
0F0YvdKcUu0,60,chicken crowing,train
0G0tdsD5MFo,300,chicken crowing,train
0GHQO8k2htg,0,chicken crowing,train
0LcEgY3DouU,140,chicken clucking,train
0OyYHsYnpPw,20,chicken clucking,train
0RKgmvzhBA4,40,chicken clucking,test
0Rpw7o2B0UQ,2,chicken crowing,train
0TBt0al3ITY,30,chicken crowing,train
0U6ebFYFPjk,30,chicken crowing,train
0YLUmiMFWx4,19,chicken crowing,train
0_I6B2Z0rE4,54,chicken crowing,train
0b568XeApIs,90,chicken clucking,train
0b5pY41n1XI,3,chicken crowing,train
0b5pY41n1XI,54,chicken crowing,train
0c3075b7TJU,30,chicken crowing,train
0ddWYr_zQ1E,380,chicken crowing,train
0fL9V_y32aA,19,chicken crowing,train
0jCTBa8cSKc,30,chicken clucking,train
0qlT_eblMAU,80,chicken crowing,train
0s1uXHl5_8k,30,chicken crowing,train
0upP8cF_LY0,17,chicken crowing,train
1-T4A6yQDE0,67,chicken crowing,train
11ruZHgyTKM,30,chicken crowing,test
13k8j37ktV4,40,chicken clucking,train
14XML4NbS38,5,chicken crowing,test
16iyjFCwta4,30,chicken clucking,train
17L2VkXtcQ0,30,chicken crowing,test
19U_xEyytHI,30,chicken clucking,train
1DWjMcOqmLo,46,chicken clucking,train
1MDP9gGy2y8,0,chicken crowing,train
1R9oQMMFc24,18,chicken clucking,train
1TKMjjF35Nc,40,chicken clucking,train
1Vs2oGm_EMg,30,chicken clucking,train
1X7xYiJBaow,260,chicken crowing,train
1YVymi9pLWU,131,chicken clucking,train
1YVymi9pLWU,144,chicken clucking,train
1YYHuxqOkIk,0,chicken clucking,train
1ZLGngES_lA,189,chicken clucking,train
1aEXbyHB3_k,30,chicken clucking,train
1ba6bDbh3_E,70,chicken clucking,train
1emMgdbf-L4,1,chicken crowing,train
1gK3BmmR_GE,10,chicken crowing,train
1hR4B6xey_0,0,chicken crowing,train
1hlPvLZt9J0,5,chicken crowing,train
1izz9P5QU6k,50,chicken crowing,train
1mzgOInYKDc,30,chicken clucking,train
1nINoMsSqUY,66,chicken clucking,train
1nINoMsSqUY,122,chicken clucking,train
1qbJxEdgEZs,54,chicken clucking,test
1rmx0mnsGwA,22,chicken crowing,train
1uP4HHlb6EI,0,chicken crowing,train
1udpeTlsy8Q,30,chicken clucking,train
1yGhCQUn7GU,10,chicken crowing,train
205kuk11C70,10,chicken crowing,train
20si1MxpHO8,160,chicken clucking,train
20xaD0Tzi2M,0,chicken crowing,train
22Eih59Xsgc,30,chicken clucking,train
231-4GOUaDQ,14,chicken crowing,train
24zIS8V8GvM,10,chicken crowing,train
272KiALPCzM,23,chicken crowing,train
27SRFmETQSU,80,chicken crowing,train
27wIu9FCMJQ,27,chicken crowing,train
2Fbt9QiLWWc,370,chicken clucking,test
2NSwEQdx8sM,30,chicken crowing,train
2OLXoKxJ1qg,30,chicken crowing,train
2PmVDfbqGmE,110,chicken clucking,train
2UGCVA6U4Lc,130,chicken crowing,train
2Vb0HX5P7gM,1,chicken crowing,train
2bVaT-vgZo4,52,chicken crowing,train
2baznhAyEsg,14,chicken crowing,train
2cgbCHAx5iM,30,chicken clucking,train
2dNpVU8CouE,30,chicken clucking,train
2ew_E4ivlC8,130,chicken clucking,train
2flwkjD4mPQ,31,chicken crowing,train
2lYHMjI3JAM,10,chicken clucking,train
2ngbRYHDfWY,25,chicken crowing,train
2o8qU45AuBg,150,chicken crowing,train
2pzZbll4J14,57,chicken crowing,train
2qVII2EZbF4,0,chicken clucking,train
2rV3x4vpi8g,50,chicken crowing,train
2yUkySlo0nE,200,chicken crowing,train
2yizo9_ZWyw,4,chicken clucking,train
2zev5MpJKPc,39,chicken clucking,train
2zev5MpJKPc,78,chicken clucking,train
30_CZ7xuI3M,19,chicken crowing,train
30_CZ7xuI3M,93,chicken crowing,train
33ppVmWuTSg,74,chicken crowing,train
354tEt_H0iY,280,chicken crowing,train
35SC81RF7S4,30,chicken clucking,train
38NMNxUSg4E,270,chicken crowing,train
38k6OKJN4Zk,12,chicken crowing,train
38k6OKJN4Zk,44,chicken crowing,train
3EE5WKQMBek,30,chicken crowing,test
3G3zJM0y638,30,chicken clucking,train
3GsN3KGKatQ,0,chicken clucking,train
3JJA7x6WQVc,160,chicken crowing,train
3LGrXpfCezg,30,chicken clucking,train
3N8VP1Z1zlo,20,chicken crowing,train
3O3fI8PU7AQ,186,chicken crowing,train
3RkoH7aOS7Y,30,chicken clucking,train
3V-q5MJSzAk,30,chicken clucking,test
3VH_UFFp9Gg,30,chicken clucking,train
3Wz_zCrc-3Q,20,chicken crowing,train
3YdUImrSQmI,30,chicken crowing,train
3Ye3T5DYLSM,0,chicken crowing,train
3btzWEe05Zg,11,chicken clucking,train
3ekbMT8R8qQ,5,chicken crowing,train
3fhjmikJbN4,30,chicken clucking,train
3fywowLBY4s,38,chicken clucking,train
3fywowLBY4s,75,chicken clucking,train
3jZrxnh42ZA,20,chicken crowing,train
3ktBJ6qlhIM,4,chicken crowing,train
3lOfIG1h-Zw,30,chicken clucking,train
3pVA-QGwVco,30,chicken crowing,train
3tRW3oOxusU,30,chicken clucking,train
3ucKHluSGCU,30,chicken clucking,train
3unHRC-sZU8,190,chicken crowing,train
45i1hZfUQhk,30,chicken clucking,train
46zbt7TQHRs,0,chicken crowing,test
47zF-yIPoTo,0,chicken crowing,train
49hqgCiJ44w,50,chicken crowing,train
4B5oNZxGQjQ,3,chicken crowing,train
4CVdbEcEaJk,10,chicken crowing,train
4EE7yYYcnho,20,chicken clucking,train
4HR95ew2V34,2,chicken clucking,train
4HR95ew2V34,52,chicken clucking,train
4IFl3EnMxxI,91,chicken crowing,train
4J79-x4eUDs,15,chicken clucking,train
4JdWCxoLFOA,0,chicken clucking,train
4JyAaW9BKLA,40,chicken clucking,train
4Kbj5xnJlUU,0,chicken crowing,train
4N54GWAqSag,20,chicken clucking,train
4SlSeLr2Zw8,9,chicken crowing,train
4T48YQKTcBY,30,chicken clucking,train
4UUbBtYLt0s,400,chicken crowing,train
4UUnUOeeaFQ,60,chicken clucking,train
4UYE2RXZXXE,10,chicken crowing,train
4WGJEeXdJK0,30,chicken crowing,train
4Ztwb4nYEwA,30,chicken crowing,train
4eRPBeJ7tlY,0,chicken crowing,train
4jDqaqqvLVQ,30,chicken crowing,test
4sodha2P-c4,7,chicken crowing,train
4sodha2P-c4,27,chicken crowing,train
4uVzgXlMLzo,80,chicken crowing,train
4ursgQETEJQ,20,chicken crowing,train
4uucOhaW5ow,30,chicken clucking,train
4wWhFeGW7Q0,30,chicken clucking,train
5-FM0mCYups,3,chicken crowing,train
5-SAIt0_Ji0,4,chicken crowing,train
53JV0FqhqTY,3,chicken crowing,train
55b4KDqVhx0,30,chicken crowing,train
56iMVyneo_I,120,chicken crowing,train
57MxzaeXRGo,4,chicken clucking,train
5AQeLzD8Dhk,0,chicken crowing,train
5AQeLzD8Dhk,8,chicken crowing,train
5B7vDvZSEdw,19,chicken crowing,train
5DNTf5cZUHM,24,chicken clucking,train
5EontevWcfQ,30,chicken clucking,test
5FMsQx1TtFg,30,chicken clucking,train
5JfTXIVk6BM,250,chicken clucking,train
5KWLCfZ0wKs,0,chicken clucking,train
5MZdao1S_3Y,20,chicken crowing,train
5O4gktY7RKE,180,chicken crowing,train
5RcqrYtpqYU,135,chicken crowing,train
5V30hLo1JRc,0,chicken clucking,train
5X0rx4_6syQ,10,chicken clucking,train
5X_XVJ02H2U,100,chicken clucking,train
5XhVzviHgMI,30,chicken crowing,train
5ZEmreAVhwI,280,chicken clucking,train
5_6B7ideqbk,18,chicken clucking,train
5_x_PX1WUxI,30,chicken clucking,train
5bjUJxDdUnE,220,chicken crowing,train
5dky7-lEgAE,3,chicken crowing,train
5g8e1PDfWIs,60,chicken crowing,train
5j4leo9RP6g,24,chicken clucking,train
5j4leo9RP6g,35,chicken clucking,train
5jRHJtBf9mI,2,chicken crowing,train
5kRCajShZwg,20,chicken clucking,train
5oaWb-QV0jo,15,chicken crowing,train
5rhXcyUqjLY,30,chicken clucking,train
5s340k9Hbfg,99,chicken crowing,train
5vvINhReuXk,50,chicken crowing,train
5wSBsaL4t-4,50,chicken clucking,train
5yJ6L5GszsM,10,chicken crowing,train
6-Lmux2v2g4,0,chicken crowing,train
636KEGs1EIc,120,chicken crowing,train
65AzbQEMs-o,30,chicken clucking,train
67usg41NhNw,4,chicken crowing,train
68QMC4wYnQQ,65,chicken crowing,train
68hapDEQEj0,480,chicken clucking,test
69gaY3dCWoI,50,chicken crowing,train
6BdoMhUtcPQ,30,chicken crowing,train
6Epq_a0GdmQ,8,chicken clucking,train
6GP7vMyZ6tc,0,chicken clucking,train
6JjiUUcl7Ms,25,chicken crowing,train
6JjiUUcl7Ms,46,chicken crowing,train
6OFDugcFz6o,22,chicken crowing,train
6SOCAZFaP2g,33,chicken crowing,train
6Y5Ad3Mg068,18,chicken clucking,test
6bWaHsoPxAM,10,chicken crowing,train
6dcZ3e9MwbQ,29,chicken crowing,train
6iwE6_Q7Mi8,166,chicken clucking,test
6jLQ217JnSo,29,chicken clucking,train
6jLQ217JnSo,148,chicken clucking,train
6jeKcfkacNA,15,chicken crowing,train
6jeKcfkacNA,27,chicken crowing,train
6jsrzHghu3s,0,chicken crowing,train
6kNyKHHbQUQ,30,chicken crowing,train
6uP4ywRnVrY,40,chicken clucking,train
6vfrTvRKSvg,40,chicken crowing,train
6yAEiN45E8A,6,chicken crowing,train
6zQYJpQ-zg8,18,chicken clucking,train
6zW4BGEx0Bw,40,chicken clucking,train
6zWVhxZnmtI,90,chicken crowing,train
70EYv6ihyhQ,30,chicken crowing,train
70EYv6ihyhQ,101,chicken crowing,train
77Dm9qS1Hc0,30,chicken crowing,train
78fORoH4-oc,16,chicken clucking,train
7CG6OnrFi0Y,10,chicken crowing,train
7CdQ8DUGONE,0,chicken clucking,train
7EgbS-lbHWY,5,chicken clucking,test
7FP7bVQRbjs,7,chicken crowing,train
7G9-t2zPJV4,30,chicken clucking,train
7M3PLcPWgaw,110,chicken clucking,train
7RyBRczgJK4,260,chicken crowing,test
7SpiuYESP6A,30,chicken crowing,train
7Uave2EhDu0,30,chicken crowing,train
7XhxrKoxHgE,50,chicken crowing,train
7fH-CZBkT6I,80,chicken crowing,train
7fVLA8Mi1-s,30,chicken crowing,train
7iZ2doz_QqI,30,chicken clucking,train
7l_TPfOhh5c,570,chicken crowing,test
7nZlimGroS8,60,chicken crowing,train
7ov-tF6DVf0,48,chicken crowing,train
7sp6XEVXoJI,30,chicken crowing,train
7t5UDD12JVk,89,chicken crowing,train
7w6IAwf_1qE,140,chicken clucking,train
7yfb05iMdkg,30,chicken clucking,train
859SgfaTm8E,30,chicken clucking,train
87ePtLan6jg,30,chicken crowing,train
8BHqq1oKvs8,19,chicken clucking,train
8BqS-aSYZts,4,chicken clucking,train
8Cb5bP6Uino,100,chicken crowing,train
8DJLjktTvCs,60,chicken crowing,train
8DKdz6E8W-E,51,chicken clucking,test
8EOIYAQ-i9w,240,chicken clucking,train
8KXJ1j_x-Cg,15,chicken clucking,train
8KoSC-C85DQ,20,chicken crowing,train
8SNgE7ELHpw,40,chicken clucking,train
8SsqNY0_dHM,1,chicken crowing,train
8SsqNY0_dHM,24,chicken crowing,train
8YMqZlZl8YA,100,chicken clucking,train
8Z1zTpHRnPg,90,chicken crowing,train
8eschnsDe4g,10,chicken crowing,train
8ljTWqTa-4o,3,chicken crowing,train
8ljTWqTa-4o,6,chicken crowing,train
8wUh0JvRYoA,24,chicken clucking,train
93VnfdBgn1M,21,chicken clucking,train
93VnfdBgn1M,50,chicken clucking,train
94JF7tBHkvI,50,chicken crowing,train
94PSD94IXXk,16,chicken clucking,test
96WjhXdNfU8,30,chicken crowing,train
97pEn5VJdlg,10,chicken clucking,train
9BIwq_m_J6k,90,chicken clucking,train
9EoNlyOAkYo,12,chicken clucking,train
9IcDNyVWd1U,150,chicken crowing,train
9P15Ns-BDs8,12,chicken crowing,train
9SXyXP62hgk,60,chicken crowing,train
9U4iFcchO6g,34,chicken crowing,train
9UZ-ZemHV1w,6,chicken clucking,train
9YI1MOznR3Q,130,chicken clucking,train
9_RFBfT_sFs,30,chicken clucking,train
9aYuW7ByULM,30,chicken clucking,train
9dJ2HNnCna4,30,chicken crowing,train
9db_3io8-fE,48,chicken crowing,train
9db_3io8-fE,108,chicken crowing,train
9j3QuUqaOmw,130,chicken crowing,train
9moN8mAlu7w,0,chicken crowing,train
9oDV13Gm37A,40,chicken clucking,train
9pfZ4sXXsE4,330,chicken crowing,test
9rejJoJlEmc,30,chicken crowing,train
9wMeb3Q-IiQ,30,chicken crowing,test
9z0g3J4EMhA,23,chicken clucking,train
9z0g3J4EMhA,40,chicken clucking,train
A2I33ozei1k,30,chicken crowing,train
A43JOxLa5MM,23,chicken clucking,test
A5-rcriW6_4,0,chicken crowing,train
A58nnmnhfUo,1,chicken crowing,test
A6GuZLAVqbI,9,chicken crowing,train
A6GuZLAVqbI,110,chicken crowing,train
AAOSTDhX0LQ,9,chicken clucking,train
ADoQlPVF4XU,27,chicken clucking,train
AEHqRHE0qd4,17,chicken clucking,train
AFzAVij-69o,130,chicken crowing,train
AGC68JUEtAY,30,chicken crowing,train
ANJmE3SlDMQ,30,chicken clucking,train
ANjYA_ok2hI,9,chicken crowing,train
AORRjClSmfw,26,chicken crowing,train
AOSVHoRTyC4,30,chicken crowing,train
AP1ROyZfWOY,28,chicken clucking,train
APoohNMTR1U,20,chicken crowing,train
ARFBC4LeCFY,8,chicken clucking,train
ARFBC4LeCFY,19,chicken clucking,train
AUG9XJrYopM,0,chicken crowing,train
AUfDTp6ADrk,70,chicken crowing,train
AWcZq1PRcII,20,chicken crowing,test
AYGWs42G2UQ,10,chicken crowing,train
AYRIUoPVlKo,40,chicken crowing,train
AZyjf5yVOiM,10,chicken crowing,train
AblG9fJPedM,25,chicken crowing,train
Acae0JmPDjs,30,chicken clucking,train
Acf0CB_SAAo,30,chicken crowing,train
AdGuhQxBuqE,17,chicken crowing,train
AenD2B1PR5Q,30,chicken clucking,train
AfgsKOrC4-o,27,chicken crowing,train
Ag29me9uh7A,30,chicken clucking,train
AghWiXgu2cY,14,chicken clucking,train
AghWiXgu2cY,26,chicken clucking,train
Ah204gfnevk,10,chicken crowing,train
Al0WQfEUdYI,50,chicken crowing,train
Al_MtuxxQmY,260,chicken clucking,train
AmLZJvMO2Xw,18,chicken crowing,train
Aq-be7Y_yyY,4,chicken clucking,train
Aq-be7Y_yyY,16,chicken clucking,train
AvvfLsi0u6o,30,chicken clucking,train
B-5-z_JPHM0,200,chicken crowing,train
B0vGyJRUfkU,6,chicken crowing,train
B2P716WAO4o,0,chicken crowing,train
B7vD2xVea9Y,19,chicken clucking,train
B9ZQfpwK--8,50,chicken crowing,train
BAkom0RQ_sk,40,chicken clucking,train
BBPI-CSQQpY,30,chicken crowing,train
BDMv6AOI5jY,175,chicken crowing,train
BDMv6AOI5jY,190,chicken crowing,train
BE66p64LLJ4,20,chicken crowing,train
BGR10BFJO30,0,chicken clucking,train
BHtGtRljQVY,0,chicken crowing,train
BIlRBML107k,40,chicken crowing,train
BJlpvO8avgg,30,chicken clucking,train
BKrqdPojk84,8,chicken clucking,train
BLwFJa6lb4E,433,chicken crowing,train
BLwFJa6lb4E,473,chicken crowing,train
BT7h7bpL0wE,30,chicken clucking,train
BTU7dvn_6Lg,70,chicken crowing,train
BTnTqJ-m_Io,50,chicken crowing,test
BTyJwmhemdY,110,chicken clucking,train
BVULkBvvSJY,30,chicken clucking,train
BVwvRFT7oY8,16,chicken clucking,train
BVwvRFT7oY8,43,chicken clucking,train
BX4KBt-kfl4,2,chicken crowing,train
BZ7dIiE97Dw,60,chicken clucking,train
Bci6NPvTyHI,12,chicken clucking,train
BdSlfA8QyH0,82,chicken crowing,train
BeVKpQQGhyg,78,chicken crowing,train
BeVKpQQGhyg,92,chicken crowing,train
BhEUAdt9olo,0,chicken crowing,train
BkuvyOLDYzc,21,chicken clucking,train
BleBqimXGdw,12,chicken crowing,train
BpqPYZfCpLw,283,chicken crowing,train
BuMujA8EpBo,10,chicken crowing,train
BuR-aZw2ydk,11,chicken clucking,train
BuR-aZw2ydk,22,chicken clucking,train
ByUW9TzdmUg,30,chicken clucking,train
C16vwqj-SUY,30,chicken clucking,train
C5Ge3-VJ3kk,30,chicken clucking,train
C7T-tQP0azM,0,chicken clucking,train
C7T-tQP0azM,10,chicken clucking,train
C8Ol76UPSNE,30,chicken clucking,train
CCPBPaLRc0E,100,chicken crowing,train
CD74Q7T4rjg,0,chicken clucking,train
CGEBxfiJ9yI,60,chicken clucking,train
CGPeGTAwzbk,18,chicken crowing,train
CGPeGTAwzbk,30,chicken crowing,train
CGfZijTJ77M,30,chicken clucking,train
CMzyWdYklFs,160,chicken clucking,train
CPVSpl2eqRc,220,chicken crowing,train
CP_HmscGchg,340,chicken clucking,train
CRAgkesZIQY,30,chicken clucking,train
CScQCxNACyc,130,chicken crowing,test
CTJAqGAoFiI,20,chicken crowing,train
CTVyvfZfJJg,7,chicken crowing,train
CTVyvfZfJJg,30,chicken crowing,train
CU72qSlceqM,30,chicken crowing,test
CX-gGuT3iEs,230,chicken crowing,test
CZ5TAtK89sk,20,chicken clucking,train
C_hoX170mSM,0,chicken crowing,train
CaVKxKmFvEk,60,chicken crowing,train
CbBVBaDjedg,21,chicken crowing,train
CbBVBaDjedg,55,chicken crowing,train
Cg_I1pc51kg,70,chicken crowing,train
ChBwdyjZAJI,30,chicken crowing,test
CqI98TCsUZw,40,chicken crowing,train
CqUGHmX_mKk,120,chicken clucking,train
CsqoaGRJhfM,30,chicken crowing,test
CtoshZDIKBY,30,chicken crowing,train
Cvrg-Es2dNY,30,chicken clucking,train
CxFbu9k-3fc,30,chicken clucking,train
CxJBCYk7pa8,160,chicken clucking,train
DCpt--jHKH0,38,chicken crowing,train
DGkbdMdDwto,50,chicken crowing,train
DHRHQbuBiz4,20,chicken crowing,train
DIl050cgX_U,30,chicken crowing,train
DLpmZEm6WHA,30,chicken crowing,train
DMc_Y0x1zSM,16,chicken crowing,train
DPuPLIDOIA4,30,chicken crowing,train
DQ8tagAN5EI,180,chicken clucking,train
DSW2P4qw8cs,20,chicken crowing,train
DWLDZepu4jw,140,chicken clucking,train
DZIlOv4_g3M,30,chicken clucking,train
DZy6Q_kPeHE,140,chicken crowing,train
DbGb-gpMYW4,30,chicken crowing,train
DfwyE-GVrdw,30,chicken crowing,train
DkJ6OScQshI,0,chicken crowing,test
DmdusrdqFSM,60,chicken crowing,train
Do3SdWSw7M8,68,chicken crowing,train
DwnuLja0e84,10,chicken clucking,train
DzF--NedkqY,170,chicken crowing,train
DzlPouM83Io,102,chicken crowing,train
E5nZBO7ZsQM,30,chicken crowing,train
E7XZHzzeNQ0,0,chicken crowing,train
E8xkE1dyEX8,30,chicken crowing,train
ECVzhzOC5Q0,30,chicken clucking,test
EDbzmrDb87g,1,chicken crowing,train
EDbzmrDb87g,20,chicken crowing,train
EHTQf4O5e_M,24,chicken crowing,train
EMAArbPyHEo,30,chicken crowing,train
ENSMDHYewy4,30,chicken crowing,train
EQmPGxcKU80,25,chicken clucking,train
EW3bHmI_ghU,14,chicken clucking,train
EW3bHmI_ghU,24,chicken clucking,train
EbCO9hOV5R0,50,chicken crowing,train
Ef4-1jEKNP4,19,chicken crowing,train
Ef4-1jEKNP4,32,chicken crowing,train
EfZ-NpbDgeI,296,chicken crowing,train
Efr7amskTaI,1,chicken clucking,train
Efr7amskTaI,11,chicken clucking,train
EgDFaMOJ8fA,210,chicken crowing,train
EihLEqOI2vU,30,chicken clucking,train
EjXxbhf3-fo,30,chicken clucking,train
EnIsRY9QbaE,20,chicken clucking,train
EngtuDF_jaU,40,chicken crowing,train
Eonjv8Rq3AM,13,chicken clucking,train
EqBdyk1K2m8,40,chicken clucking,train
EqmDXDfcI1s,50,chicken crowing,train
Eqmq5iMK6nU,40,chicken crowing,train
ErOVOOJ48_I,30,chicken crowing,train
EuEVsI7vGLQ,30,chicken crowing,train
EyTj5tVZp4k,20,chicken clucking,train
Ey_OWYntD6E,25,chicken crowing,train
EzJRypMUfgE,20,chicken crowing,train
EzQBMLdh7sw,130,chicken clucking,train
F-M31XMaHkw,30,chicken crowing,train
F00_PwWDMZc,15,chicken clucking,train
F0xVOG1Jx3M,20,chicken crowing,train
F0xntO9MIHw,5,chicken crowing,train
F1R5ySZr45A,20,chicken crowing,train
F2I3uJhZp68,60,chicken crowing,train
F2yvXHbr1Us,30,chicken crowing,train
F3KjVp2lZio,190,chicken crowing,train
F3Xsn0zzvKI,30,chicken clucking,train
F3t3NRFYM_Q,10,chicken crowing,train
F4Ae_wBA5CM,30,chicken crowing,train
F9HmDeEcQZ4,30,chicken crowing,train
FC_UVoKEGAI,30,chicken crowing,train
FDDc8Oxwjbk,50,chicken crowing,train
FDd4D1B66JE,80,chicken crowing,train
FDuwQNuGUmc,20,chicken crowing,train
FEwjoXDrwnw,11,chicken crowing,train
FJJ5f8_pf8I,30,chicken clucking,train
FNCJFdB8gtM,29,chicken clucking,train
FNCJFdB8gtM,39,chicken clucking,train
FNFgjJ00J9w,30,chicken crowing,test
FPDsx70WKPQ,130,chicken crowing,train
FUiAOhrm63E,15,chicken crowing,train
FY26Fi2IA8s,210,chicken crowing,train
FZBsmJLkKrA,30,chicken clucking,train
Fe_HtA5zw9U,12,chicken crowing,train
FgIyb3SNyIw,30,chicken clucking,train
FjlqZTbpj5M,22,chicken crowing,train
Fk8r9OnqyTs,10,chicken clucking,train
Fk8r9OnqyTs,21,chicken clucking,train
Fl0yc47JSWM,25,chicken clucking,test
Fn2QiwScSDs,10,chicken clucking,train
FpYuJwh_vo8,70,chicken crowing,test
FqMc3Xy6Yks,20,chicken crowing,train
Fqy0eMO3-rQ,73,chicken crowing,train
Fqy0eMO3-rQ,101,chicken crowing,train
Ft9eIN-nR-g,80,chicken clucking,train
FxgAwrXenok,1,chicken crowing,train
FzJWDg6CnQM,30,chicken clucking,train
FzPplBkG_aI,10,chicken crowing,train
Fzs-OIw-Atw,0,chicken crowing,test
G-e_5fFjbrU,3,chicken crowing,train
G-tO6Sqyiu4,30,chicken clucking,test
G4lHrxChh5U,40,chicken crowing,train
G6v8ud4SQUE,0,chicken crowing,train
GB-8s2O726U,0,chicken crowing,train
GBNzpTa5FxA,424,chicken crowing,train
GBNzpTa5FxA,617,chicken crowing,train
GBeXC_oWlv8,60,chicken clucking,train
GF8qYRPhy0U,18,chicken clucking,train
GG-v8-4KN-k,30,chicken clucking,train
GJjl9LHOTjM,30,chicken clucking,train
GKS8P7To-CM,26,chicken clucking,train
GL4-kW1dMek,50,chicken crowing,train
GLJKGQGXImI,320,chicken crowing,train
GTMlQKbsJpA,80,chicken clucking,train
GTf3NT4DFVU,30,chicken clucking,train
G_ZCxIsueso,30,chicken crowing,train
GaGuidCFVW0,30,chicken crowing,train
GafB9PErj6Y,11,chicken clucking,train
GhXWfI9CHYI,40,chicken crowing,train
GkKGr50i35g,20,chicken clucking,train
GkStiQ3hR5g,220,chicken crowing,test
GlSiGSS3T9A,30,chicken crowing,train
GmGWbDtPfj4,30,chicken clucking,train
GqWc7wmZOgc,20,chicken clucking,train
Guh4jjWQgLk,2,chicken crowing,train
GxEy0uzGyA0,170,chicken clucking,train
GySYV3pD0hU,40,chicken crowing,train
GzT5MFcdr40,12,chicken clucking,train
H-maqeP2ECQ,90,chicken crowing,train
H2bwrOfXcsY,16,chicken clucking,train
H2bwrOfXcsY,40,chicken clucking,train
H3pQq4RBoUg,0,chicken crowing,train
H4D_eIQZGoE,200,chicken crowing,test
H4Y8cc9satE,15,chicken crowing,train
H8lholuvdIo,590,chicken crowing,train
HBcjWeINfvQ,27,chicken clucking,train
